Contestant,Age,Residence,Occupation,Affiliation,Finish,Episode,fname,lname,Inferred_Gender,Inferred_Ethnicity,Season,player_id
Jack Marriner-Brown,24,"Bridlington, England",Market trader and landscaper,None,Eliminated,1,Jack,Marriner-Brown,male,White,3,3_Jack Marriner-Brown
Yin Lü,34,"Reading, England",Doctor of Communication,Faithful,Murdered ,1,Yin,Lü,female,Asian,3,3_Yin Lü
Nathan Khider,39,"London, England",Property consultant,Faithful,Banished ,2,Nathan,Khider,male,White,3,3_Nathan Khider
Keith Stewart,65,"Bournemouth, England",Window cleaner,Faithful,Murdered ,2,Keith,Stewart,male,Black,3,3_Keith Stewart
Elen Wyn,24,"Cardiff, Wales",Translator,Faithful,Banished,2,Elen,Wyn,female,White,3,3_Elen Wyn
Armani Gouveia,27,"London, England",Financial investigator,Traitor,Banished ,3,Armani,Gouveia,female,Black,3,3_Armani Gouveia
Maia Gouveia,25,"Epping, England",Stay at home mum,Faithful,Murdered ,4,Maia,Gouveia,female,Black,3,3_Maia Gouveia
Kasim Ahmed,33,"Cambridge, England",Doctor,Faithful,Banished ,4,Kasim,Ahmed,male,GreaterAfrican/Muslim,3,3_Kasim Ahmed
Tyler Smith,29,"Leicester, England",Barber,Faithful,Banished,5,Tyler,Smith,male,White,3,3_Tyler Smith
"Olivia ""Livi"" Deane",26,"Horsham, England",Beautician and model,Faithful,Murdered ,6,Olivia,"""Livi"" Deane",female,White,3,"3_Olivia ""Livi"" Deane"
Dan Bird,33,"Liverpool, England",Bank risk manager,Faithful,Banished ,6,Dan,Bird,male,White,3,3_Dan Bird
Fozia Fazil,50,"Birmingham, England",Community development manager,Faithful,Murdered ,7,Fozia,Fazil,female,GreaterAfrican/Africans,3,3_Fozia Fazil
Linda Rands,70,"Hitchin, England",Retired opera singer,Traitor,Banished,7,Linda,Rands,female,White,3,3_Linda Rands
Anna Duke,28,"Blessington, Ireland",Swimming teacher,Faithful,Murdered ,8,Anna,Duke,female,White,3,3_Anna Duke
Alex Oleksy,29,"Whitby, England",Care manager,Faithful,Banished ,8,Alex,Oleksy,male,White,3,3_Alex Oleksy
Lisa Coupland,62,"Mawgan-in-Meneage, England",Anglican priest,Faithful,Murdered ,9,Lisa,Coupland,female,White,3,3_Lisa Coupland
Leon Jackman,40,"Ilkeston, England",Retail store manager,Faithful,Banished,9,Leon,Jackman,male,Black,3,3_Leon Jackman
Joe Scott,37,"Southampton, England",English teacher,Faithful,Murdered ,10,Joe,Scott,male,White,3,3_Joe Scott
Minah Shannon,29,"Liverpool, England",Call centre manager,Traitor,Banished,10,Minah,Shannon,female,Black,3,3_Minah Shannon
Freddie Fraser,20,"Peterborough, England",Politics student,Traitor,Banished,11,Freddie,Fraser,male,White,3,3_Freddie Fraser
Charlotte Berman,32,"Basingstoke, England",Business director,Traitor,Banished,12,Charlotte,Berman,female,GreaterEuropean/Jewish,3,3_Charlotte Berman
Alexander Dragonetti,38,"London, England",Former British diplomat,Faithful,Banished,12,Alexander,Dragonetti,male,White,3,3_Alexander Dragonetti
Francesca Rowan-Plowden,44,"Rye, England",Interior designer,Faithful,Banished ,12,Francesca,Rowan-Plowden,female,White,3,3_Francesca Rowan-Plowden
Jake Brown,28,"Barrow-in-Furness, England","Project manager, and former CP football player.",Faithful,Winner ,12,Jake,Brown,male,White,3,3_Jake Brown
Leanne Quigley,28,"Holywell, Wales",Former soldier,Faithful,Winner,12,Leanne,Quigley,female,White,3,3_Leanne Quigley
