player,target,round_table,second_turn,Season
C1_Alan Carr,C1_Niko Omilana,1,,C1
C1_Alan Carr,C1_Celia Imrie,2,,C1
C1_Alan Carr,C1_David Olusoga,3,,C1
C1_Alan Carr,C1_Mark Bonnar,4,C1_Mark Bonnar,C1
C1_Alan Carr,C1_Joe Marler,5,,C1
C1_Alan Carr,C1_Jonathan Ross,6,,C1
C1_Alan Carr,C1_David Olusoga,7,,C1
C1_Alan Carr,C1_David Olusoga,8,,C1
C1_David Olusoga,C1_Niko Omilana,1,,C1
C1_David Olusoga,C1_Stephen Fry,2,,C1
C1_David Olusoga,C1_Clare Balding,3,,C1
C1_David Olusoga,C1_Stephen Fry,4,,C1
C1_David Olusoga,C1_Stephen Fry,5,,C1
C1_David Olusoga,C1_Nick Mohammed,6,,C1
C1_David Olusoga,C1_Kate Garraway,7,,C1
C1_David Olusoga,C1_Cat Burns,8,,C1
C1_Nick Mohammed,C1_Niko Omilana,1,,C1
C1_Nick Mohammed,C1_Tameka Empson,2,,C1
C1_Nick Mohammed,C1_Celia Imrie,3,,C1
C1_Nick Mohammed,C1_Kate Garraway,4,C1_Mark Bonnar,C1
C1_Nick Mohammed,C1_Stephen Fry,5,,C1
C1_Nick Mohammed,C1_Jonathan Ross,6,,C1
C1_Nick Mohammed,C1_Cat Burns,7,,C1
C1_Nick Mohammed,C1_Cat Burns,8,,C1
C1_Joe Marler,C1_Niko Omilana,1,,C1
C1_Joe Marler,C1_Kate Garraway,2,,C1
C1_Joe Marler,C1_Jonathan Ross,3,,C1
C1_Joe Marler,C1_Mark Bonnar,4,C1_Mark Bonnar,C1
C1_Joe Marler,C1_Jonathan Ross,5,,C1
C1_Joe Marler,C1_Jonathan Ross,6,,C1
C1_Joe Marler,C1_Kate Garraway,7,,C1
C1_Joe Marler,C1_Cat Burns,8,,C1
C1_Cat Burns,C1_Kate Garraway,1,,C1
C1_Cat Burns,C1_Stephen Fry,2,,C1
C1_Cat Burns,C1_Stephen Fry,3,,C1
C1_Cat Burns,C1_David Olusoga,4,C1_David Olusoga,C1
C1_Cat Burns,C1_Stephen Fry,5,,C1
C1_Cat Burns,C1_Jonathan Ross,6,,C1
C1_Cat Burns,C1_Kate Garraway,7,,C1
C1_Cat Burns,C1_David Olusoga,8,,C1
C1_Kate Garraway,C1_Tameka Empson,1,,C1
C1_Kate Garraway,C1_Tameka Empson,2,,C1
C1_Kate Garraway,C1_Clare Balding,3,,C1
C1_Kate Garraway,C1_Mark Bonnar,4,C1_Mark Bonnar,C1
C1_Kate Garraway,C1_Nick Mohammed,5,,C1
C1_Kate Garraway,C1_Jonathan Ross,6,,C1
C1_Kate Garraway,C1_David Olusoga,7,,C1
C1_Kate Garraway,Banished(Episode 8),8,,C1
C1_Celia Imrie,C1_Charlotte Church,1,,C1
C1_Celia Imrie,C1_Cat Burns,2,,C1
C1_Celia Imrie,C1_David Olusoga,3,,C1
C1_Celia Imrie,C1_Jonathan Ross,4,C1_David Olusoga,C1
C1_Celia Imrie,C1_Joe Marler,5,,C1
C1_Celia Imrie,C1_Jonathan Ross,6,,C1
C1_Celia Imrie,Murdered(Episode 8),7,,C1
C1_Celia Imrie,Murdered(Episode 8),8,,C1
C1_Jonathan Ross,C1_Niko Omilana,1,,C1
C1_Jonathan Ross,C1_Ruth Codd,2,,C1
C1_Jonathan Ross,C1_Clare Balding,3,,C1
C1_Jonathan Ross,C1_David Olusoga,4,C1_David Olusoga,C1
C1_Jonathan Ross,C1_Stephen Fry,5,,C1
C1_Jonathan Ross,C1_David Olusoga,6,,C1
C1_Jonathan Ross,Banished(Episode 7),7,,C1
C1_Jonathan Ross,Banished(Episode 7),8,,C1
C1_Lucy Beaumont,C1_Niko Omilana,1,,C1
C1_Lucy Beaumont,C1_David Olusoga,2,,C1
C1_Lucy Beaumont,C1_Clare Balding,3,,C1
C1_Lucy Beaumont,C1_Mark Bonnar,4,C1_Mark Bonnar,C1
C1_Lucy Beaumont,C1_Jonathan Ross,5,,C1
