player,target,round_table,Season
2_Harry Clark,2_Zack Davies,1,2
2_Harry Clark,2_Zack Davies,2,2
2_Harry Clark,2_Ash Bibi,3,2
2_Harry Clark,2_Ash Bibi,4,2
2_Harry Clark,2_Jonny Holloway,5,2
2_Harry Clark,2_Zack Davies,6,2
2_Harry Clark,2_Miles Asteri,7,2
2_Harry Clark,2_Paul Gorton,8,2
2_Harry Clark,2_Charlotte Chilton,9,2
2_Harry Clark,2_Ross Carson,10,2
2_Harry Clark,2_Jasmine Boatswain,11,2
2_Harry Clark,2_Evie Morrison,12,2
2_Mollie Pearce,2_Sonja Clarke,1,2
2_Mollie Pearce,2_Anthony Mathurin,2,2
2_Mollie Pearce,2_Brian Davidson,3,2
2_Mollie Pearce,2_Ash Bibi,4,2
2_Mollie Pearce,2_Jonny Holloway,5,2
2_Mollie Pearce,2_Anthony Mathurin,6,2
2_Mollie Pearce,2_Miles Asteri,7,2
2_Mollie Pearce,2_Paul Gorton,8,2
2_Mollie Pearce,2_Jaz Singh,9,2
2_Mollie Pearce,2_Ross Carson,10,2
2_Mollie Pearce,2_Andrew Jenkins,11,2
2_Mollie Pearce,2_Evie Morrison,12,2
2_Jaz Singh,2_Sonja Clarke,1,2
2_Jaz Singh,2_Brian Davidson,2,2
2_Jaz Singh,2_Brian Davidson,3,2
2_Jaz Singh,2_Paul Gorton,4,2
2_Jaz Singh,2_Jonny Holloway,5,2
2_Jaz Singh,2_Andrew Jenkins,6,2
2_Jaz Singh,2_Andrew Jenkins,7,2
2_Jaz Singh,2_Paul Gorton,8,2
2_Jaz Singh,2_Charlotte Chilton,9,2
2_Jaz Singh,2_Ross Carson,10,2
2_Jaz Singh,2_Jasmine Boatswain,11,2
2_Jaz Singh,2_Evie Morrison,12,2
2_Andrew Jenkins,2_Sonja Clarke,1,2
2_Andrew Jenkins,2_Ash Bibi,2,2
2_Andrew Jenkins,2_Ash Bibi,3,2
2_Andrew Jenkins,2_Ash Bibi,4,2
2_Andrew Jenkins,2_Jonny Holloway,5,2
2_Andrew Jenkins,2_Zack Davies,6,2
2_Andrew Jenkins,2_Miles Asteri,7,2
2_Andrew Jenkins,2_Jaz Singh,8,2
2_Andrew Jenkins,2_Charlotte Chilton,9,2
2_Andrew Jenkins,2_Ross Carson,10,2
2_Andrew Jenkins,2_Jasmine Boatswain,11,2
2_Andrew Jenkins,2_Evie Morrison,12,2
2_Evie Morrison,2_Sonja Clarke,1,2
2_Evie Morrison,2_Ash Bibi,2,2
2_Evie Morrison,2_Ash Bibi,3,2
2_Evie Morrison,2_Ash Bibi,4,2
2_Evie Morrison,2_Jonny Holloway,5,2
2_Evie Morrison,2_Anthony Mathurin,6,2
2_Evie Morrison,2_Paul Gorton,7,2
2_Evie Morrison,2_Paul Gorton,8,2
2_Evie Morrison,2_Charlotte Chilton,9,2
2_Evie Morrison,2_Ross Carson,10,2
2_Evie Morrison,2_Jasmine Boatswain,11,2
2_Evie Morrison,2_Andrew Jenkins,12,2
2_Jasmine Boatswain,2_Sonja Clarke,1,2
2_Jasmine Boatswain,2_Brian Davidson,2,2
2_Jasmine Boatswain,2_Brian Davidson,3,2
2_Jasmine Boatswain,2_Ash Bibi,4,2
2_Jasmine Boatswain,2_Jonny Holloway,5,2
2_Jasmine Boatswain,2_Anthony Mathurin,6,2
2_Jasmine Boatswain,2_Miles Asteri,7,2
2_Jasmine Boatswain,2_Paul Gorton,8,2
2_Jasmine Boatswain,2_Charlotte Chilton,9,2
2_Jasmine Boatswain,2_Zack Davies,10,2
2_Jasmine Boatswain,2_Evie Morrison,11,2
2_Jasmine Boatswain,Banished,12,2
