player,target,round_table,Season,second_turn
4_Rachel Duffy,4_Ross Garshong,1,4,
4_Rachel Duffy,4_Ross Garshong,2,4,
4_Rachel Duffy,4_Ross Garshong,3,4,
4_Rachel Duffy,4_Sam Little,4,4,Reece
4_Rachel Duffy,4_Fiona Hughes,5,4,
4_Rachel Duffy,4_Harriet Tyce,6,4,
4_Rachel Duffy,4_Sam Little,7,4,
4_Rachel Duffy,4_Ellie Buckley,8,4,
4_Rachel Duffy,4_Matthew Hyndman,9,4,
4_Rachel Duffy,4_James Baker,10,4,
4_Rachel Duffy,4_Jade Scott,11,4,
4_Stephen Libby,4_Judy Wilson,1,4,
4_Stephen Libby,4_Hugo Lodge,2,4,
4_Stephen Libby,"4_Marzook ""Maz"" Bana",3,4,
4_Stephen Libby,4_Amanda Collier,4,4,Amanda
4_Stephen Libby,4_Fiona Hughes,5,4,
4_Stephen Libby,4_Harriet Tyce,6,4,
4_Stephen Libby,4_Sam Little,7,4,
4_Stephen Libby,4_Ellie Buckley,8,4,
4_Stephen Libby,4_Matthew Hyndman,9,4,
4_Stephen Libby,4_James Baker,10,4,James
4_Stephen Libby,4_Jade Scott,11,4,
4_Jack Butler,4_Judy Wilson,1,4,
4_Jack Butler,4_Reece Ward,2,4,
4_Jack Butler,4_Reece Ward,3,4,
4_Jack Butler,4_Reece Ward,4,4,Reece
4_Jack Butler,4_Fiona Hughes,5,4,
4_Jack Butler,4_Harriet Tyce,6,4,
4_Jack Butler,4_Matthew Hyndman,7,4,
4_Jack Butler,4_Matthew Hyndman,8,4,
4_Jack Butler,4_Matthew Hyndman,9,4,
4_Jack Butler,4_Rachel Duffy,10,4,James
4_Jack Butler,4_Rachel Duffy,11,4,
4_Faraaz Noor,4_Judy Wilson,1,4,
4_Faraaz Noor,4_Sam Little,2,4,
4_Faraaz Noor,4_Sam Little,3,4,
4_Faraaz Noor,4_Stephen Libby,4,4,Reece
4_Faraaz Noor,4_Sam Little,5,4,
4_Faraaz Noor,4_Harriet Tyce,6,4,
4_Faraaz Noor,4_Sam Little,7,4,
4_Faraaz Noor,4_Ellie Buckley,8,4,
4_Faraaz Noor,4_Jade Scott,9,4,
4_Faraaz Noor,4_Rachel Duffy,10,4,Rachel
4_Faraaz Noor,4_Jade Scott,11,4,
4_Jade Scott,4_Judy Wilson,1,4,
