age_group,median_episode,mean_episode,count,season
<30,9.0,8.071428571428571,42,all
30-44,8.0,7.410256410256411,39,all
45-59,6.0,6.176470588235294,17,all
60+,6.5,5.833333333333333,12,all
<30,8.0,7.846153846153846,13,1
30-44,4.0,6.6,5,1
45-59,10.0,8.333333333333334,3,1
60+,11.0,11.0,1,1
<30,11.0,9.777777777777779,9,2
30-44,7.0,7.222222222222222,9,2
45-59,6.0,6.0,1,2
60+,2.0,3.6666666666666665,3,2
<30,7.0,6.833333333333333,12,3
30-44,9.0,7.555555555555555,9,3
45-59,7.0,7.0,1,3
60+,7.0,6.0,3,3
<30,12.0,10.2,5,4
30-44,9.5,8.8,10,4
45-59,5.0,4.4,5,4
60+,4.5,4.5,2,4
<30,4.0,5.333333333333333,3,C1
30-44,6.0,5.833333333333333,6,C1
45-59,6.0,6.428571428571429,7,C1
60+,7.0,7.0,3,C1
