group_value,proportion,group_type,season
male,0.509090909090909,Inferred_Gender,all
female,0.4909090909090909,Inferred_Gender,all
white,0.7090909090909091,ethnicity_group,all
person_of_color,0.2909090909090909,ethnicity_group,all
female,0.5,Inferred_Gender,1
male,0.5,Inferred_Gender,1
white,0.7727272727272727,ethnicity_group,1
person_of_color,0.22727272727272727,ethnicity_group,1
male,0.5,Inferred_Gender,2
female,0.5,Inferred_Gender,2
white,0.7272727272727273,ethnicity_group,2
person_of_color,0.2727272727272727,ethnicity_group,2
female,0.52,Inferred_Gender,3
male,0.48,Inferred_Gender,3
white,0.64,ethnicity_group,3
person_of_color,0.36,ethnicity_group,3
male,0.5454545454545454,Inferred_Gender,4
female,0.45454545454545453,Inferred_Gender,4
white,0.6818181818181818,ethnicity_group,4
person_of_color,0.3181818181818182,ethnicity_group,4
male,0.5263157894736842,Inferred_Gender,C1
female,0.47368421052631576,Inferred_Gender,C1
white,0.7368421052631579,ethnicity_group,C1
person_of_color,0.2631578947368421,ethnicity_group,C1
