voter_gender,voter_ethnicity,player_count,baseline_proportion,Round,Season
female,person_of_color,14,0.14,1,all
female,white,35,0.35,1,all
male,person_of_color,13,0.13,1,all
male,white,38,0.38,1,all
female,person_of_color,2,0.10526315789473684,1,1
female,white,8,0.42105263157894735,1,1
male,person_of_color,1,0.05263157894736842,1,1
male,white,8,0.42105263157894735,1,1
female,person_of_color,3,0.14285714285714285,1,2
female,white,8,0.38095238095238093,1,2
male,person_of_color,3,0.14285714285714285,1,2
male,white,7,0.3333333333333333,1,2
female,person_of_color,4,0.19047619047619047,1,3
female,white,7,0.3333333333333333,1,3
male,person_of_color,3,0.14285714285714285,1,3
male,white,7,0.3333333333333333,1,3
female,person_of_color,3,0.14285714285714285,1,4
female,white,6,0.2857142857142857,1,4
male,person_of_color,3,0.14285714285714285,1,4
male,white,9,0.42857142857142855,1,4
female,person_of_color,2,0.1111111111111111,1,C1
female,white,6,0.3333333333333333,1,C1
male,person_of_color,3,0.16666666666666666,1,C1
male,white,7,0.3888888888888889,1,C1
female,person_of_color,12,0.13333333333333333,2,all
female,white,32,0.35555555555555557,2,all
male,person_of_color,11,0.12222222222222222,2,all
male,white,35,0.3888888888888889,2,all
female,person_of_color,2,0.11764705882352941,2,1
female,white,6,0.35294117647058826,2,1
male,person_of_color,1,0.058823529411764705,2,1
male,white,8,0.47058823529411764,2,1
female,person_of_color,2,0.10526315789473684,2,2
female,white,7,0.3684210526315789,2,2
male,person_of_color,3,0.15789473684210525,2,2
male,white,7,0.3684210526315789,2,2
female,person_of_color,4,0.21052631578947367,2,3
female,white,7,0.3684210526315789,2,3
male,person_of_color,2,0.10526315789473684,2,3
male,white,6,0.3157894736842105,2,3
female,person_of_color,2,0.10526315789473684,2,4
female,white,6,0.3157894736842105,2,4
male,person_of_color,3,0.15789473684210525,2,4
male,white,8,0.42105263157894735,2,4
female,person_of_color,2,0.125,2,C1
female,white,6,0.375,2,C1
male,person_of_color,2,0.125,2,C1
male,white,6,0.375,2,C1
female,person_of_color,10,0.12195121951219512,3,all
female,white,29,0.35365853658536583,3,all
male,person_of_color,10,0.12195121951219512,3,all
male,white,33,0.4024390243902439,3,all
female,person_of_color,2,0.125,3,1
female,white,6,0.375,3,1
male,white,8,0.5,3,1
female,person_of_color,1,0.0625,3,2
female,white,6,0.375,3,2
male,person_of_color,3,0.1875,3,2
male,white,6,0.375,3,2
female,person_of_color,4,0.2222222222222222,3,3
female,white,6,0.3333333333333333,3,3
male,person_of_color,2,0.1111111111111111,3,3
male,white,6,0.3333333333333333,3,3
female,person_of_color,2,0.1111111111111111,3,4
female,white,6,0.3333333333333333,3,4
male,person_of_color,3,0.16666666666666666,3,4
male,white,7,0.3888888888888889,3,4
female,person_of_color,1,0.07142857142857142,3,C1
female,white,5,0.35714285714285715,3,C1
male,person_of_color,2,0.14285714285714285,3,C1
male,white,6,0.42857142857142855,3,C1
female,person_of_color,9,0.11842105263157894,4,all
female,white,28,0.3684210526315789,4,all
male,person_of_color,8,0.10526315789473684,4,all
