player,target,round_table,Season,second_turn,target_gender,target_ethnicity,voter_gender,voter_ethnicity,Round
2_Harry Clark,2_Zack Davies,1,all,,male,white,male,white,1
2_Mollie Pearce,2_Sonja Clarke,1,all,,female,white,female,white,1
2_Jaz Singh,2_Sonja Clarke,1,all,,female,white,male,person_of_color,1
2_Andrew Jenkins,2_Sonja Clarke,1,all,,female,white,male,white,1
2_Evie Morrison,2_Sonja Clarke,1,all,,female,white,female,white,1
2_Jasmine Boatswain,2_Sonja Clarke,1,all,,female,white,female,person_of_color,1
2_Zack Davies,2_Sonja Clarke,1,all,,female,white,male,white,1
2_Ross Carson,2_Sonja Clarke,1,all,,female,white,male,white,1
2_Charlotte Chilton,2_Sonja Clarke,1,all,,female,white,female,white,1
2_Charlie Bees,2_Sonja Clarke,1,all,,female,white,female,white,1
2_Paul Gorton,2_Sonja Clarke,1,all,,female,white,male,white,1
2_Miles Asteri,2_Sonja Clarke,1,all,,female,white,male,person_of_color,1
2_Diane Carson,2_Anthony Mathurin,1,all,,male,person_of_color,female,white,1
2_Anthony Mathurin,2_Diane Carson,1,all,,female,white,male,person_of_color,1
2_Tracey Griffin,2_Anthony Mathurin,1,all,,male,person_of_color,female,white,1
2_Jonny Holloway,2_Sonja Clarke,1,all,,female,white,male,white,1
2_Meg Corrick,2_Diane Carson,1,all,,female,white,female,white,1
2_Ash Bibi,2_Sonja Clarke,1,all,,female,white,female,person_of_color,1
2_Brian Davidson,2_Sonja Clarke,1,all,,female,white,male,white,1
2_Kyra Johnson,2_Sonja Clarke,1,all,,female,white,female,person_of_color,1
2_Sonja Clarke,2_Ross Carson,1,all,,male,white,female,white,1
C1_Alan Carr,C1_Niko Omilana,1,all,,male,person_of_color,male,white,1
C1_David Olusoga,C1_Niko Omilana,1,all,,male,person_of_color,male,person_of_color,1
C1_Nick Mohammed,C1_Niko Omilana,1,all,,male,person_of_color,male,person_of_color,1
C1_Joe Marler,C1_Niko Omilana,1,all,,male,person_of_color,male,white,1
C1_Cat Burns,C1_Kate Garraway,1,all,,female,white,female,person_of_color,1
C1_Kate Garraway,C1_Tameka Empson,1,all,,female,person_of_color,female,white,1
C1_Celia Imrie,C1_Charlotte Church,1,all,,female,white,female,white,1
C1_Jonathan Ross,C1_Niko Omilana,1,all,,male,person_of_color,male,white,1
C1_Lucy Beaumont,C1_Niko Omilana,1,all,,male,person_of_color,female,white,1
C1_Stephen Fry,C1_Niko Omilana,1,all,,male,person_of_color,male,white,1
C1_Joe Wilkinson,C1_Tom Daley,1,all,,male,white,male,white,1
C1_Mark Bonnar,C1_Tameka Empson,1,all,,female,person_of_color,male,white,1
C1_Charlotte Church,C1_Niko Omilana,1,all,,male,person_of_color,female,white,1
C1_Clare Balding,C1_Niko Omilana,1,all,,male,person_of_color,female,white,1
C1_Ruth Codd,C1_Kate Garraway,1,all,,female,white,female,white,1
C1_Tameka Empson,C1_Kate Garraway,1,all,,female,white,female,person_of_color,1
C1_Tom Daley,C1_Niko Omilana,1,all,,male,person_of_color,male,white,1
C1_Niko Omilana,C1_Tom Daley,1,all,,male,white,male,person_of_color,1
4_Rachel Duffy,4_Ross Garshong,1,all,,male,person_of_color,female,white,1
4_Stephen Libby,4_Judy Wilson,1,all,,female,person_of_color,male,white,1
4_Jack Butler,4_Judy Wilson,1,all,,female,person_of_color,male,white,1
4_Faraaz Noor,4_Judy Wilson,1,all,,female,person_of_color,male,person_of_color,1
4_Jade Scott,4_Judy Wilson,1,all,,female,person_of_color,female,person_of_color,1
4_James Baker,4_Judy Wilson,1,all,,female,person_of_color,male,white,1
4_Roxy Wilson,4_James Baker,1,all,,male,white,female,person_of_color,1
4_Matthew Hyndman,4_Judy Wilson,1,all,,female,person_of_color,male,white,1
4_Ellie Buckley,4_Judy Wilson,1,all,,female,person_of_color,female,white,1
4_Jessie Stride,4_Judy Wilson,1,all,,female,person_of_color,female,white,1
4_Sam Little,4_Judy Wilson,1,all,,female,person_of_color,male,white,1
4_Adam Waughman,4_Judy Wilson,1,all,,female,person_of_color,male,white,1
4_Harriet Tyce,4_Judy Wilson,1,all,,female,person_of_color,female,white,1
4_Fiona Hughes,4_Judy Wilson,1,all,,female,person_of_color,female,white,1
4_Reece Ward,4_Adam Waughman,1,all,,male,white,male,white,1
4_Amanda Collier,4_Jade Scott,1,all,,female,person_of_color,female,white,1
"4_Marzook ""Maz"" Bana",4_Judy Wilson,1,all,,female,person_of_color,male,person_of_color,1
4_Ross Garshong,4_Judy Wilson,1,all,,female,person_of_color,male,person_of_color,1
4_Hugo Lodge,4_Judy Wilson,1,all,,female,person_of_color,male,white,1
4_Ben,4_Judy Wilson,1,all,,female,person_of_color,male,white,1
4_Judy Wilson,4_Sam Little,1,all,,male,white,female,person_of_color,1
3_Jake Brown,3_Linda Rands,1,all,,female,white,male,white,1
3_Leanne Quigley,3_Charlotte Berman,1,all,,female,person_of_color,female,white,1
3_Francesca Rowan-Plowden,3_Nathan Khider,1,all,,male,white,female,white,1
3_Charlotte Berman,3_Keith Stewart,1,all,,male,person_of_color,female,person_of_color,1
3_Freddie Fraser,3_Elen Wyn,1,all,,female,white,male,white,1
3_Minah Shannon,"3_Olivia ""Livi"" Deane",1,all,,female,white,female,person_of_color,1
3_Joe Scott,3_Nathan Khider,1,all,,male,white,male,white,1
3_Leon Jackman,3_Francesca Rowan-Plowden,1,all,,female,white,male,person_of_color,1
3_Lisa Coupland,3_Charlotte Berman,1,all,,female,person_of_color,female,white,1
3_Alex Oleksy,3_Nathan Khider,1,all,,male,white,male,white,1
3_Anna Duke,3_Nathan Khider,1,all,,male,white,female,white,1
3_Linda Rands,3_Jake Brown,1,all,,male,white,female,white,1
3_Dan Bird,3_Nathan Khider,1,all,,male,white,male,white,1
"3_Olivia ""Livi"" Deane",3_Elen Wyn,1,all,,female,white,female,white,1
3_Tyler Smith,3_Linda Rands,1,all,,female,white,male,white,1
3_Kasim Ahmed,3_Nathan Khider,1,all,,male,white,male,person_of_color,1
3_Maia Gouveia,3_Anna Duke,1,all,,female,white,female,person_of_color,1
3_Armani Gouveia,3_Nathan Khider,1,all,,male,white,female,person_of_color,1
3_Elen Wyn,3_Linda Rands,1,all,,female,white,female,white,1
3_Keith Stewart,3_Nathan Khider,1,all,,male,white,male,person_of_color,1
3_Nathan Khider,3_Linda Rands,1,all,,female,white,male,white,1
1_Aaron Evans,1_Imran Nasim,1,all,,male,person_of_color,male,white,1
1_Hannah Byczkowski,1_Nicky Wilding,1,all,,female,white,female,white,1
1_Meryl Williams,1_Nicky Wilding,1,all,,female,white,female,white,1
"1_Wilfred ""Wilf"" Webster",1_Nicky Wilding,1,all,,female,white,male,white,1
"1_Madelyn ""Maddy"" Smedley",1_Nicky Wilding,1,all,,female,white,female,white,1
1_Andrea Addison,1_Nicky Wilding,1,all,,female,white,female,white,1
1_Amanda Lovett,1_Nicky Wilding,1,all,,female,white,female,white,1
1_Fay Greaves,1_Nicky Wilding,1,all,,female,white,female,person_of_color,1
1_Theo Mayne,1_Nicky Wilding,1,all,,female,white,male,white,1
1_Alex Gray,1_Nicky Wilding,1,all,,female,white,female,white,1
1_Rayan Rachedi,1_Nicky Wilding,1,all,,female,white,male,white,1
1_Alyssa Chan,1_Nicky Wilding,1,all,,female,white,female,person_of_color,1
1_Matt Harris,1_Nicky Wilding,1,all,,female,white,male,white,1
1_Tom Elderfield,1_Nicky Wilding,1,all,,female,white,male,white,1
1_John McManus,1_Nicky Wilding,1,all,,female,white,male,white,1
1_Ivan Brett,1_Nicky Wilding,1,all,,female,white,male,white,1
1_Imran Nasim,1_Nicky Wilding,1,all,,female,white,male,person_of_color,1
1_Claire Barratt,1_Nicky Wilding,1,all,,female,white,female,white,1
1_Nicky Wilding,1_Fay Greaves,1,all,,female,person_of_color,female,white,1
1_Aaron Evans,1_Imran Nasim,1,1,,male,person_of_color,male,white,1
1_Hannah Byczkowski,1_Nicky Wilding,1,1,,female,white,female,white,1
1_Meryl Williams,1_Nicky Wilding,1,1,,female,white,female,white,1
"1_Wilfred ""Wilf"" Webster",1_Nicky Wilding,1,1,,female,white,male,white,1
