Inferred_Gender,ethnicity_group,median_episode,mean_episode,count,season
female,person_of_color,5.5,6.277777777777778,18,all
female,white,8.0,7.583333333333333,36,all
male,person_of_color,6.5,6.714285714285714,14,all
male,white,8.0,7.690476190476191,42,all
female,person_of_color,6.0,6.0,3,1
female,white,10.5,8.625,8,1
male,person_of_color,6.0,6.0,2,1
male,white,7.0,8.0,9,1
female,person_of_color,5.0,6.333333333333333,3,2
female,white,8.0,7.75,8,2
male,person_of_color,7.0,8.333333333333334,3,2
male,white,9.0,8.0,8,2
female,person_of_color,5.5,6.166666666666667,6,3
female,white,8.0,8.0,7,3
male,person_of_color,4.0,5.0,3,3
male,white,8.0,7.444444444444445,9,3
female,person_of_color,6.5,6.75,4,4
female,white,8.0,8.0,6,4
male,person_of_color,5.0,7.0,3,4
male,white,8.0,8.222222222222221,9,4
female,person_of_color,6.0,6.0,2,C1
female,white,5.0,5.428571428571429,7,C1
male,person_of_color,9.0,7.0,3,C1
male,white,6.0,6.571428571428571,7,C1
